iter	Passed	Remaining
846	1196	216
847	1197	214
848	1198	213
849	1199	211
850	1201	210
851	1202	208
852	1203	207
853	1204	205
854	1205	204
855	1206	203
856	1208	201
857	1209	200
858	1210	198
859	1211	197
860	1212	195
861	1214	194
862	1215	192
863	1216	191
864	1218	190
865	1219	188
866	1220	187
867	1221	185
868	1223	184
869	1224	182
870	1225	181
871	1227	180
872	1228	178
873	1229	177
874	1230	175
875	1232	174
876	1233	172
877	1234	171
878	1236	170
879	1236	168
880	1238	167
881	1239	165
882	1241	164
883	1242	163
884	1243	161
885	1244	160
886	1245	158
887	1246	157
888	1247	155
889	1248	154
890	1250	152
891	1251	151
892	1252	150
893	1254	148
894	1255	147
895	1256	145
896	1257	144
897	1258	142
898	1259	141
899	1260	140
900	1262	138
901	1263	137
902	1264	135
903	1266	134
904	1267	133
905	1268	131
906	1269	130
907	1270	128
908	1271	127
909	1272	125
910	1273	124
911	1274	123
912	1275	121
913	1276	120
914	1277	118
915	1279	117
916	1280	115
917	1281	114
918	1282	113
919	1283	111
920	1284	110
921	1285	108
922	1286	107
923	1287	105
924	1288	104
925	1289	103
926	1290	101
927	1291	100
928	1293	98
929	1294	97
930	1295	95
931	1296	94
932	1297	93
933	1298	91
934	1299	90
935	1300	88
936	1301	87
937	1302	86
938	1304	84
939	1305	83
940	1306	81
941	1307	80
942	1308	79
943	1309	77
944	1310	76
945	1311	74
946	1312	73
947	1314	72
948	1315	70
949	1316	69
950	1317	67
951	1318	66
952	1319	65
953	1320	63
954	1322	62
955	1323	60
956	1324	59
957	1325	58
958	1326	56
959	1327	55
960	1329	53
961	1330	52
962	1331	51
963	1332	49
964	1333	48
965	1334	46
966	1335	45
967	1337	44
968	1338	42
969	1338	41
970	1339	40
971	1340	38
972	1342	37
973	1343	35
974	1344	34
975	1345	33
976	1346	31
977	1348	30
978	1349	28
979	1350	27
980	1351	26
981	1352	24
982	1353	23
983	1354	22
984	1355	20
985	1356	19
986	1358	17
987	1359	16
988	1360	15
989	1361	13
990	1362	12
991	1363	10
992	1364	9
993	1365	8
994	1366	6
995	1367	5
996	1368	4
997	1369	2
998	1370	1
999	1371	0
